A1BG	chr19:58858174-58864865
A1CF.2	chr10:52566327-52645435
A1CF.3	chr10:52566327-52645435
A1CF	chr10:52566327-52645435
A2BP1.2	chr16:6823810-7763340
A2BP1.3	chr16:7382751-7763340
A2BP1.4	chr16:6069132-7763340
A2BP1.5	chr16:7382751-7763340
A2BP1.6	chr16:6069132-7763340
A2BP1	chr16:7382751-7763340
A2LD1	chr13:101183811-101185997
A2M	chr12:9220304-9268558
A2ML1	chr12:8975150-9029375
A4GALT	chr22:43088128-43116876
A4GNT	chr3:137842560-137851229
AAA1	chr7:34758476-34873941
AAAS	chr12:53701241-53715412
AACS	chr12:125549925-125627872
AACSL	chr5:178191866-178203277
AADAC	chr3:151531861-151546277
AADACL2	chr3:151451704-151475554
AADACL3.2	chr1:12776118-12788726
AADACL3	chr1:12776118-12788726
AADACL4	chr1:12704566-12727096
AADAT.2	chr4:170981374-171011372
AADAT	chr4:170981374-171011183
AAGAB	chr15:67493369-67547074
AAK1	chr2:69685127-69870977
AAMP	chr2:219128853-219134893
AANAT.2	chr17:74463630-74466198
AANAT	chr17:74449433-74466198
AARS2	chr6:44266463-44281063
AARS	chr16:70286297-70323412
AARSD1.2	chr17:41102545-41132020
AARSD1.3	chr17:41120107-41132545
AARSD1.4	chr17:41120107-41132545
AARSD1	chr17:41102545-41132545
AASDH	chr4:57204459-57253638
AASDHPPT	chr11:105948292-105969419
AASS	chr7:121713600-121784344
AATF	chr17:35306175-35414170
AATK	chr17:79091100-79139872
ABAT.2	chr16:8806826-8878431
ABAT.3	chr16:8814573-8878431
ABAT	chr16:8768444-8878431
ABCA10	chr17:67144148-67240956
ABCA11P	chr4:419224-467998
ABCA12.2	chr2:215796267-215896810
ABCA12	chr2:215796267-216003151
ABCA13	chr7:48211057-48687091
ABCA17P	chr16:2390923-2476700
ABCA1	chr9:107543285-107690436
ABCA2.2	chr9:139901686-139922740
ABCA2	chr9:139901686-139923374
ABCA3	chr16:2325879-2390747
ABCA4	chr1:94458396-94586705
ABCA5.2	chr17:67240576-67311774
ABCA5	chr17:67240576-67323323
ABCA6	chr17:67074847-67138015
ABCA7	chr19:1040102-1065568
ABCA8	chr17:66863433-66951533
ABCA9	chr17:66970774-67057136
ABCB10	chr1:229652330-229694442
ABCB11	chr2:169779449-169887833
ABCB1	chr7:87132948-87342564
ABCB4.2	chr7:87031361-87105019
ABCB4.3	chr7:87031361-87105019
ABCB4	chr7:87031361-87105019
ABCB5.2	chr7:20686966-20700016
ABCB5.3	chr7:20686966-20707187
ABCB5.4	chr7:20686966-20796636
ABCB5	chr7:20655245-20796636
ABCB6	chr2:220074494-220083672
ABCB7	chrX:74273107-74376132
ABCB8	chr7:150725510-150744867
ABCB9.2	chr12:123413540-123451056
ABCB9.3	chr12:123413540-123459752
ABCB9	chr12:123413540-123451056
ABCC10	chr6:43399489-43418163
ABCC11.2	chr16:48200822-48269088
ABCC11.3	chr16:48200822-48269088
ABCC11	chr16:48200822-48266182
ABCC1.2	chr16:16043434-16236928
ABCC12	chr16:48116884-48180681
ABCC13.2	chr21:15646120-15663704
ABCC1.3	chr16:16043434-16236928
ABCC13	chr21:15646120-15673690
ABCC1.4	chr16:16043434-16236928
ABCC1.5	chr16:16043434-16236928
ABCC1	chr16:16043434-16236928
ABCC2	chr10:101542463-101611662
ABCC3.2	chr17:48712218-48745286
ABCC3	chr17:48712218-48769062
ABCC4.2	chr13:95748025-95953687
ABCC4	chr13:95672084-95953687
ABCC5.2	chr3:183701542-183735727
ABCC5	chr3:183637726-183735727
ABCC6.2	chr16:16315045-16317328
ABCC6	chr16:16243423-16317328
ABCC6P1	chr16:18582570-18609605
ABCC6P2	chr16:14916289-14918559
ABCC8	chr11:17414433-17498449
ABCC9.2	chr12:21958108-22089628
ABCC9.3	chr12:21958108-22089628
ABCC9	chr12:21950326-22089628
ABCD1	chrX:152990323-153010216
ABCD2	chr12:39945022-40013843
ABCD3.2	chr1:94883933-94944259
ABCD3	chr1:94883933-94984218
ABCD4.2	chr14:74751980-74769767
ABCD4	chr14:74751980-74769767
ABCE1.2	chr4:146019156-146050675
ABCE1	chr4:146019156-146050675
ABCF1.5	chr6:30539170-30559307
ABCF1.8	chr6:30539170-30559307
ABCF2.2	chr7:150904923-150924317
ABCF2	chr7:150909577-150924317
ABCF3	chr3:183903863-183911795
ABCG1.2	chr21:43640008-43717352
ABCG1.3	chr21:43639267-43717352
ABCG1.4	chr21:43619799-43717352
ABCG1.5	chr21:43636187-43717352
ABCG1.6	chr21:43619922-43717352
ABCG1	chr21:43639267-43717352
ABCG2	chr4:89011417-89080011
ABCG4.2	chr11:119019750-119033372
ABCG4	chr11:119020299-119033372
ABCG5	chr2:44039612-44065958
ABCG8	chr2:44066103-44105604
ABHD10	chr3:111697828-111712208
ABHD11.2	chr7:73150427-73153184
ABHD11.3	chr7:73150427-73153184
ABHD11.4	chr7:73150427-73153184
ABHD11.5	chr7:73152044-73153190
ABHD11.6	chr7:73150427-73153184
ABHD11.7	chr7:73150427-73153190
ABHD11	chr7:73152000-73153184
ABHD12.2	chr20:25275380-25371477
ABHD12B.2	chr14:51338878-51371687
ABHD12B	chr14:51338878-51371687
ABHD12	chr20:25280850-25371477
ABHD13	chr13:108870763-108886602
ABHD14A	chr3:52009042-52015215
ABHD14B.2	chr3:52002527-52008646
ABHD14B.3	chr3:52002527-52008646
ABHD14B	chr3:52002527-52008646
ABHD15	chr17:27887691-27894042
ABHD1	chr2:27346657-27353678
ABHD2.2	chr15:89631381-89745591
ABHD2	chr15:89631381-89745591
ABHD3	chr18:19230858-19284766
ABHD4	chr14:23067147-23081257
ABHD5	chr3:43732375-43764216
ABHD6	chr3:58223259-58280459
ABHD8	chr19:17402941-17414282
ABI1.2	chr10:27035527-27149959
ABI1.3	chr10:27035527-27149959
ABI1.4	chr10:27035527-27149959
ABI1	chr10:27035527-27149959
ABI2	chr2:204193003-204296891
ABI3.2	chr17:47287589-47300587
ABI3BP	chr3:100468181-100712334
ABI3	chr17:47287589-47300587
ABL1.2	chr9:133710831-133763058
ABL1	chr9:133589268-133763060
ABL2.2	chr1:179079717-179198819
ABL2.3	chr1:179068463-179112211
ABL2.4	chr1:179068463-179112224
ABL2.5	chr1:179068463-179112224
ABL2.6	chr1:179068463-179112224
ABL2.7	chr1:179068463-179198819
